"메인코드","MCO"
"메인코드명칭","MCO_NM"
"관리부서","MDE"
"상세코드","SCO"
"코드키","KY"
"상세코드설명","SCO_DES"
"사원","EMP"
"사원번호","EMP_NO"
"주민번호","REG_NO"
"전화번호","HP"
"채용구분","WO_TM"
"직급구분","PO"
